GP,PPG,FGM,FGA,FG%,3PM,3P%,ORB,DRB,APG,SPG,TOV,is_Champion,league_num
28,78.1,26.6,58.5,0.456,8.9,0.331,6.8,26.3,17.8,7.9,13.8,0.0,1
28,77.8,28.0,61.0,0.458,6.9,0.324,9.6,23.4,16.8,5.2,14.5,0.0,1
26,75.9,26.9,62.4,0.432,6.7,0.316,9.8,23.0,13.3,6.6,12.8,0.0,1
26,73.9,27.0,59.9,0.451,6.0,0.318,8.1,22.4,15.3,6.4,13.8,0.0,1
26,72.6,24.9,57.0,0.436,7.9,0.328,8.6,24.5,15.3,5.2,15.8,0.0,1
26,71.9,25.4,59.5,0.426,6.9,0.326,8.4,23.5,12.6,5.8,12.9,0.0,1
26,71.8,25.6,60.1,0.426,7.7,0.321,6.8,23.0,13.5,7.1,13.5,0.0,1
26,71.3,24.7,59.1,0.417,6.9,0.315,9.4,23.2,15.8,6.5,14.2,0.0,1
1,71.0,26.0,68.0,0.382,9.0,0.265,11.0,23.0,14.0,6.0,8.0,0.0,1
26,70.7,24.3,59.2,0.411,7.7,0.29,9.3,23.9,14.8,6.5,13.8,0.0,1
26,70.7,25.0,61.5,0.406,7.3,0.284,10.7,22.0,14.1,7.5,15.4,0.0,1
26,69.5,24.7,60.1,0.41,7.7,0.308,9.1,22.9,14.1,5.9,13.0,0.0,1
26,68.8,24.7,60.3,0.409,7.5,0.313,10.5,22.8,16.0,6.8,16.1,0.0,1
